Order ID,Order Date,Ship Date,Ship Mode,Days to Ship Actual,Days to Ship Scheduled,Ship Status,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales Forecast,Sales Target,Price,Profit Ratio,Sales Target Status,forecast_bias,Sales Forecast Status
CA-2017-103800,2017-01-03,2017-01-07,Standard Class,4,6,Shipped Early,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095.0,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.0,2,20.0,6.0,25.0,15,8.0,37.5,Target Achieved,9.0,Over Forecast
CA-2017-112326,2017-01-04,2017-01-08,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12.0,3,20.0,4.0,18.0,300,4.0,33.33,Target Not Achieved,6.0,Over Forecast
CA-2017-112326,2017-01-04,2017-01-08,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273.0,3,20.0,-65.0,408.0,300,91.0,-23.81,Target Not Achieved,135.0,Over Forecast
CA-2017-112326,2017-01-04,2017-01-08,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540.0,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4.0,2,80.0,-5.0,5.0,300,2.0,-125.0,Target Not Achieved,1.0,Over Forecast
CA-2017-141817,2017-01-05,2017-01-12,Standard Class,7,6,Shipped Late,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20.0,3,20.0,5.0,29.0,21,6.67,25.0,Target Not Achieved,9.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.0,2,0.0,1.0,8.0,699,2.5,20.0,Target Not Achieved,3.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574.0,9,0.0,746.0,3855.0,2316,286.0,28.98,Target Achieved,1281.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610.0,2,0.0,274.0,914.0,699,305.0,44.92,Target Not Achieved,304.0,Over Forecast
CA-2017-106054,2017-01-06,2017-01-07,First Class,1,1,Shipped On Time,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605.0,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13.0,3,0.0,5.0,19.0,14,4.33,38.46,Target Not Achieved,6.0,Over Forecast
CA-2017-167199,2017-01-06,2017-01-10,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420.0,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392.0,2,0.0,114.0,587.0,1068,196.0,29.08,Target Not Achieved,195.0,Over Forecast
